[INFO][17:38:03.599] M30 Device List Initialized. Total: 1
[INFO][17:38:03.600] M30 Manager Start. Devices: 1
[DEBUG][17:40:59.128] Sent to N_IN_1: RST=1 USM=001
[DEBUG][17:40:59.179] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:40:59.485] Sent to N_IN_1: RST=1 USM=001
[DEBUG][17:40:59.536] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:40:59.838] Sent to N_IN_1: RST=1 USM=001
[DEBUG][17:40:59.889] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:41:00.191] Sent to N_IN_1: RST=1 USM=001
[DEBUG][17:41:00.242] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:41:00.443] Sent to N_IN_1: RST=1 USM=001
[DEBUG][17:41:00.494] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:41:00.797] Sent to N_IN_1: RST=1 USM=001
[DEBUG][17:41:00.847] Sent to N_IN_1: RST=1 USM=000
[DEBUG][17:41:01.150] Sent to N_IN_1: RST=1 USM=001
